Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,y',y'',y'''
673,20,106.2657702985031,131.5269960445201,752.8294367535103,2339.5340956731197,[1586.70465892],168612.39281631587,0.32178605054136206,0.00340875572191314,[3248.04874518],[3174.92865221],[3078.84368246],[2932.37584771],[2266.59610394],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.06187259],[0.04454868],[0.20076125]
683,20,104.7826124128545,131.5269960445201,763.4854500934906,2361.5343911445298,[1598.04894105],167447.74280692363,0.32330058497410386,0.003362786132694677,[3270.04904066],[3195.72390535],[3098.03606532],[2949.09364042],[2277.34339418],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.06132531],[0.0442458],[0.19949665]
693,20,103.3292470478237,131.5269960445201,774.2241648482519,2383.5139868397773,[1609.28982199],166286.7055881106,0.3248246786563943,0.0033177010835957047,[3292.02863635],[3216.50064483],[3117.2192012],[2965.80735914],[2287.95730137],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.0607881],[0.04394695],[0.19824747]
703,20,101.90435368543469,131.5269960445201,785.049873795868,2405.481215348994,[1620.43134155],165129.00855259318,0.3263587629729093,0.003273461801356782,[3313.99586486],[3237.26925419],[3136.39578526],[2982.51970258],[2298.44316015],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.06026043],[0.04365204],[0.19701327]
713,20,100.50709460377013,131.5269960445201,795.963710973684,2427.443437672635,[1631.4797267],163975.28723546452,0.32790206297734864,0.003230044747633074,[3335.95808718],[3258.03673889],[3155.57312732],[2999.23733227],[2308.80859695],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05974186],[0.04336088],[0.19579332]
723,20,99.13700971244434,131.5269960445201,806.9640211263893,2449.4071857015497,[1642.44316458],162826.9039586255,0.32945278589736066,0.0031874383797528935,[3357.92183521],[3278.80931327],[3174.76268378],[3015.97048375],[2319.06314791],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05923202],[0.04307322],[0.19458663]
733,20,97.7931292246261,131.5269960445201,818.0533809920721,2471.378279920191,[1653.32489893],161683.8154911694,0.3310109940022981,0.003145614380990335,[3379.89292943],[3299.59251308],[3193.96693775],[3032.72153436],[2329.21125413],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05873056],[0.04278898],[0.19339284]
743,20,96.47459748236187,131.5269960445201,829.2338303316179,2493.3619271665984,[1664.12809683],160546.08830124364,0.3325765992079381,0.0031045479184248284,[3401.87657668],[3320.39128913],[3213.18850507],[3049.49289141],[2339.25723378],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05823715],[0.04250806],[0.1922116]
753,20,95.180838082081,131.5269960445201,840.5053119096355,2515.362802247025,[1674.85749034],159414.3395983636,0.3341487403561804,0.003064223037541797,[3423.87745176],[3341.21008526],[3232.43306885],[3066.2897785],[2349.20694044],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.0577515],[0.04223032],[0.19104236]
763,20,93.91119545660816,131.5269960445201,851.8686149295603,2537.3851164080143,[1685.51650148],158288.86961568144,0.33572696924126627,0.003024621048755617,[3445.89976592],[3362.05290384],[3251.70424518],[3083.11542091],[2359.06484121],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05727333],[0.04195567],[0.18988475]
773,20,92.66506469895221,131.5269960445201,863.3242771685518,2559.432675054505,[1696.10839789],157169.9944265381,0.3373107976556432,0.0029857247542404,[3467.94732457],[3382.92336085],[3271.00549027],[3099.97294867],[2368.83520229],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.0568024],[0.04168401],[0.18873839]
783,20,91.44186657606026,131.5269960445201,874.8727797836119,2581.508926624677,[1706.63614684],156057.9948333222,0.338899769340526,0.0029475176520367035,[3490.02357614],[3403.82473255],[3290.33986843],[3116.86513524],[2378.52194177],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05633847],[0.04141526],[0.18760295]
793,20,90.24108410582456,131.5269960445201,886.5141724825139,2603.617004158342,[1717.10283168],154953.22105160792,0.3404933102935748,0.0029099851249762823,[3512.13165367],[3424.75999541],[3309.71016274],[3133.79606012],[2388.12890237],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05588132],[0.04114934],[0.18647803]
803,20,89.0621639934847,131.5269960445201,898.2490028633524,2625.759760801405,[1727.51075794],153855.8464239879,0.34209108398751564,0.0028731112825799237,[3534.27441031],[3445.73186006],[3329.11890946],[3150.7666753],[2397.65941395],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05543075],[0.04088616],[0.18536343]
813,20,87.90457926143982,131.5269960445201,910.0777305590582,2647.939800255882,[1737.8620697],152766.0340511143,0.3436927570902909,0.002836880975456843,[3556.45444977],[3466.74279811],[3348.56817234],[3167.77926797],[2407.11634432],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05498657],[0.04062567],[0.1842589]
823,20,86.76783250734493,131.5269960445201,922.0006733858191,2670.1595029996415,[1748.15882961],151683.95252416827,0.34529797652539074,0.0028012799216784144,[3578.67415251],[3487.79476487],[3368.06056753],[3184.83422015],[2416.50277145],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.0545486],[0.0403678],[0.1831643]
833,20,85.65148994303372,131.5269960445201,934.0176108227365,2692.4210660944527,[1758.40345527],150609.87586500114,0.3469062185646895,0.0027662958267005524,[3600.93571561],[3508.89079458],[3387.59809622],[3201.93481861],[2425.82169337],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05411666],[0.04011248],[0.18207932]
843,20,84.55506881154994,131.5269960445201,946.1289680728432,2714.7264514517037,[1768.59748338],149543.8819070336,0.3485172392109339,0.0027319146730793954,[3623.24110096],[3530.03176578],[3407.18188359],[3219.08210781],[2435.07541201],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05369061],[0.03985968],[0.18100377]
853,20,83.47814533986626,131.5269960445201,958.3346596201244,2737.077514796377,[1778.74285518],148486.1545866519,0.3501306245217608,0.0026981243265182682,[3645.59216431],[3551.21978214],[3426.81389496],[3236.27786263],[2444.26654506],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05327029],[0.03960932],[0.17993746]
863,20,82.42029387311666,131.5269960445201,970.6347337605636,2759.4759425206175,[1788.84120876],147436.81811834485,0.351746039457748,0.0026649125066083223,[3667.99059203],[3572.4564442],[3446.49562921],[3253.52338167],[2453.3974],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05285556],[0.03936137],[0.1788802]
873,20,81.38110550109194,131.5269960445201,983.0291626958373,2781.9232853842877,[1798.89412269],146395.99238380298,0.35336314551177284,0.0026322674077913517,[3690.4379349],[3593.74322347],[3466.2284633],[3270.82005674],[2462.47017978],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05244628],[0.03911578],[0.17783181]
