Th,P1,P2,P3,P4,P5
673,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
683,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
693,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
703,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
713,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
723,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
733,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
743,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
753,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
763,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
773,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
783,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
793,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
803,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
813,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
823,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
833,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
843,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
853,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
863,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
873,70,[52.51061738],[35.02123475],[17.53185213],[0.04246951]
