Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,y',y'',y'''
673,90,92.25125800379762,41.556251386793946,867.1968462121863,1988.881492166307,[14.28997533],1318.268200593533,0.43602238224240697,-6.580592461037564,[3118.40842933],[3053.07005299],[3163.61413024],[3068.93282615],[2923.8720325],[2098.03280479],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.13025378],[0.066443],[0.32663345]
683,90,90.18841671456146,41.556251386793946,887.0318707688714,2017.9287456110492,[20.818496],1877.587192767788,0.4395754174661252,-6.337991364524901,[3147.45568277],[3080.49138221],[3189.89662208],[3093.17460746],[2944.99575004],[2111.1072144],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.12829755],[0.06598089],[0.324171]
693,90,88.27875075128286,41.556251386793946,906.2203454304937,2046.2817628583575,[27.41104595],2419.8128930306557,0.44286195668608014,-6.131698502384808,[3175.80870002],[3107.25833236],[3215.78711637],[3117.05781375],[2965.8056119],[2123.83214554],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.12644387],[0.06552504],[0.32176625]
703,90,86.50071815467497,41.556251386793946,924.847812904272,2074.044947047495,[34.07356637],2947.3879613508966,0.44591502909367436,-5.953437838872755,[3203.57188421],[3133.47033746],[3241.3415411],[3140.63463479],[2986.34741403],[2136.24378603],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.1246798],[0.06507533],[0.31941434]
713,90,84.83704016121983,41.556251386793946,942.984336181133,2101.303780466711,[40.8120298],3462.3718108398416,0.4487615474482662,-5.797371605875108,[3230.83071763],[3159.20862839],[3266.60689225],[3163.94889526],[3006.66299792],[2148.37477931],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.12299486],[0.06463158],[0.31711054]
723,90,83.27366894544609,41.556251386793946,960.6878262132209,2128.1290461595577,[47.63043694],3966.361237504745,0.4514236709220653,-5.6591435558766525,[3257.65598332],[3184.54050158],[3291.62298677],[3187.03770623],[3026.78482746],[2160.2511723],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.12138041],[0.06419361],[0.31485123]
733,90,81.79902703656329,41.556251386793946,978.0067428459859,2154.5799431902583,[54.53232824],4460.691391873873,0.4539199141517414,-5.535498685704409,[3284.10688035],[3209.52220737],[3316.42381339],[3209.93271831],[3046.74134987],[2171.89582861],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11982926],[0.06376122],[0.31263312]
743,90,80.40346686711119,41.556251386793946,994.9819717627595,2180.706426419553,[61.52064739],4946.4733337913485,0.45626589609147683,-5.423942653821037,[3310.23336358],[3234.20119306],[3341.03858594],[3232.66112008],[3066.55696119],[2183.3285059],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11833534],[0.06333421],[0.31045335]
753,90,79.07887091797278,41.556251386793946,1011.6482325978413,2206.550990992151,[68.59928874],5424.754299004257,0.45847489440657113,-5.322610265189565,[3336.07792815],[3258.61780409],[3365.49257362],[3255.2464103],[3086.25685488],[2194.56877285],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11689352],[0.06291239],[0.30830883]
763,90,77.81832479545456,41.556251386793946,1028.0354943424954,2232.15005179685,[75.76784963],5896.127131388111,0.4605584169912506,-5.229827050349302,[3361.67698896],[3282.80657362],[3389.80776166],[3277.70902743],[3105.85243384],[2205.62778975],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11549938],[0.06249557],[0.30619835]
773,90,76.61591305127645,41.556251386793946,1044.169504923327,2257.5350226798923,[83.0290341],6361.345257155894,0.4625263813997473,-5.144418800056281,[3387.06195984],[3306.79733746],[3414.00338182],[3300.06683222],[3125.36266469],[2216.52059682],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11414912],[0.0620836],[0.30411954]
783,90,75.46652317170398,41.556251386793946,1060.0726870374206,2282.7331698786293,[90.38420802],6820.981928912712,0.46438747244987183,-5.065383617650213,[3412.26010704],[3330.6159286],[3438.0963417],[3322.33551877],[3144.80156107],[2227.25900567],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11283943],[0.06167631],[0.30207066]
793,90,74.36570961459597,41.556251386793946,1075.764628813522,2307.768293495233,[97.8345105],7275.532797862292,0.46614932350258675,-4.9918992965307405,[3437.29523065],[3354.2849012],[3462.10157483],[3344.52894023],[3164.18147525],[2237.85351711],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11156739],[0.06127355],[0.30005018]
803,90,73.30957928684938,41.556251386793946,1091.2625713888222,2332.6612764936335,[105.38085301],7725.4259987734995,0.467818702348918,-4.923284600744723,[3462.18821365],[3377.82403619],[3486.03232815],[3366.65937781],[3183.51334315],[2248.31355366],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11033046],[0.06087519],[0.29805672]
813,90,72.29470385813862,41.556251386793946,1106.581751230093,2357.430530575925,[113.02397167],8171.034560902147,0.4694016374513284,-4.858969958373865,[3486.95746773],[3401.25076609],[3509.9003996],[3388.73776298],[3202.80688621],[2258.6475873],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.10912638],[0.06048109],[0.29608905]
823,90,71.31803787528607,41.556251386793946,1121.7358522944237,2382.0923610300124,[120.76354771],8612.619269408078,0.47090359326343967,-4.7984398876194145,[3511.61929819],[3424.58053906],[3533.71633565],[3410.77386221],[3222.06842504],[2268.86200149],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.10795311],[0.06009113],[0.29414635]
