Th,P1,P2,P3,P4,P5
673,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
683,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
693,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
703,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
713,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
723,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
733,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
743,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
753,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
763,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
773,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
783,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
793,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
803,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
813,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
823,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
833,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
843,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
853,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
863,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
873,100,[75.01061738],[50.02123475],[25.03185213],[0.04246951]
