Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,y',y'',y'''
673,30,70.94315145162247,110.43800019761144,1127.6634652261475,2520.3353841584176,-351.63660287432094,-24946.208773646977,0.4474259546225803,-152.06995346483734,[3231.37920294],[3159.23732404],[3243.91441416],[3142.53917168],[3256.14938499],[3086.80007832],[3268.09531581],[2244.92926869],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.07257692],[0.04831366],[0.21575937]
683,30,70.23593457963241,110.43800019761144,1139.0180892274914,2543.094684097342,-350.3193149640488,-24605.00448779657,0.44788662268458945,-133.35691521445904,[3254.13850288],[3180.74134582],[3266.09908933],[3163.02111097],[3277.79577522],[3105.7003277],[3289.23753635],[2256.53130591],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.07188154],[0.04797399],[0.21430922]
693,30,69.55758958592284,110.43800019761144,1150.126110985745,2565.777032049251,-348.9836077714117,-24274.45856157853,0.44825645277023746,-119.8098253614604,[3276.82085083],[3202.17357975],[3288.24982449],[3183.48171774],[3299.44608028],[3124.61093753],[3310.41683058],[2267.97996543],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.07120161],[0.04763895],[0.21287601]
703,30,68.90558688221415,110.43800019761144,1161.008905370045,2588.396822023182,-347.6311514674012,-23953.72851040116,0.4485436295902109,-109.5526261011855,[3299.44064081],[3223.55534088],[3310.37632828],[3203.9253726],[3321.10616835],[3143.53893152],[3331.63596835],[2279.28558044],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.07053598],[0.04730843],[0.21145904]
713,30,68.27786993653055,110.43800019761144,1171.682714682899,2610.96662381186,-346.26131604783177,-23641.985101165756,0.44875438237977555,-101.51204767820983,[3322.0104426],[3244.89096539],[3332.48715099],[3224.35718216],[3342.78125845],[3162.48761332],[3352.89744759],[2290.45734645],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06988407],[0.04698229],[0.21005788]
723,30,67.67259809208815,110.43800019761144,1182.1623855956714,2633.497470711063,-344.87485949582106,-23338.57775872607,0.4488944450273116,-95.04813258132867,[3344.5412895],[3266.19348179],[3354.58985774],[3244.78642288],[3364.47601148],[3181.46166428],[3374.2035292],[2301.50349293],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06924509],[0.0466603],[0.20867202]
733,30,67.08826775137575,110.43800019761144,1192.458870699631,2655.999093962294,-343.4704012606535,-23042.83424444719,0.44896810146146826,-89.7419042666015,[3367.04291275],[3287.47213741],[3376.69117118],[3265.21936343],[3386.19460612],[3200.46229096],[3395.55626642],[2312.43142346],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06861839],[0.04634232],[0.20730126]
743,30,66.52333772101858,110.43800019761144,1202.585479632712,2678.480114999008,-342.04947314965966,-22754.272619631287,0.44898055165631023,-85.31129979586774,[3389.52393378],[3308.73512179],[3398.7970895],[3285.66159444],[3407.94080214],[3219.4946488],[3416.95752962],[2323.24783104],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06800338],[0.04602819],[0.20594504]
753,30,65.97651169165214,110.43800019761144,1212.5527395853853,2700.9482040392295,-340.6123757812952,-22472.416393056035,0.4489359469285749,-81.55894138130641,[3411.99202282],[3329.98971827],[3420.91298481],[3306.1181209],[3429.71799367],[3238.56177419],[3438.40902729],[2333.95879346],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06739953],[0.04571779],[0.20460298]
763,30,65.44663528900305,110.43800019761144,1222.3699453261631,2723.4102116624117,-339.15925159458675,-22196.831844002147,0.4488379826482363,-78.34267372676108,[3434.45403045],[3351.24242971],[3443.04368527],[3326.59343942],[3451.52925415],[3257.66620921],[3459.9123239],[2344.56985272],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06680636],[0.045411],[0.20327477]
773,30,64.93263790820673,110.43800019761144,1232.0460492163206,2745.872278565661,-337.6906737225054,-21927.146241801824,0.44869022453582386,-75.55758973817932,[3456.91609735],[3372.49908329],[3465.19354423],[3347.09160314],[3473.37737436],[3276.81089054],[3481.46885513],[2355.08608175],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06622343],[0.04510771],[0.20196003]
783,30,64.43357004490272,110.43800019761144,1241.5888168892284,2768.3399275928696,-336.2068942003575,-21663.010467037933,0.44849579508424614,-73.12453457300977,[3479.38374638],[3393.76491837],[3487.36649866],[3367.6162765],[3495.26490837],[3295.99809242],[3503.07994092],[2365.51214046],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06565035],[0.04480781],[0.20065848]
793,30,63.94859070009517,110.43800019761144,1251.0048950911587,2790.818141282937,-334.70782647853093,-21404.09379959405,0.44825740401560976,-70.98248956817235,[3501.86196007],[3415.04466046],[3509.56611862],[3388.17078166],[3517.19414481],[3315.22937442],[3524.74679668],[2375.85232345],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06508673],[0.04451123],[0.19936987]
803,30,63.47690034248432,110.43800019761144,1260.3009845844185,2813.3114275268017,-333.1938891409127,-21150.115295722484,0.44797777176498244,-69.08396415867041,[3524.35524631],[3436.34258546],[3531.79564954],[3408.758138],[3539.16721916],[3334.50690995],[3546.47054296],[2386.11060055],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06453224],[0.04421786],[0.1980939]
813,30,63.01777898040344,110.43800019761144,1269.4830140693707,2835.823875411188,-331.66531189090483,-20900.811320207613,0.4476593292964284,-67.3912438385075,[3546.8676942],[3457.66256816],[3554.05804828],[3429.38109619],[3561.18607221],[3353.83243512],[3568.25221383],[2396.29065161],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06398655],[0.04392763],[0.19683034]
823,30,62.57056618213432,110.43800019761144,1278.5564344604297,2858.3592029252877,-330.12231700072516,-20655.940284093398,0.44730432520585095,-65.87404352244853,[3569.40302171],[3479.00813161],[3576.35601424],[3450.04216751],[3583.25248413],[3373.20754286],[3590.0927641],[2406.39589651],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06344938],[0.04364046],[0.19557893]
833,30,62.13465445489189,110.43800019761144,1287.526271801799,2880.9207978896093,-328.56512004824117,-20415.280200127538,0.4469148449846188,-64.50776124617201,[3591.96461667],[3500.38248608],[3598.69201613],[3470.74364632],[3605.36808978],[3392.6336966],[3611.9930757],[2416.42952102],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06292045],[0.04335629],[0.19433947]
843,30,61.70948357937257,110.43800019761144,1296.3971720343702,2903.5117532146487,-326.9939305697367,-20178.626589047657,0.4464928273836166,-63.27220547413438,[3614.555572],[3521.7885616],[3621.06831513],[3491.48763511],[3627.53439211],[3412.11224226],[3633.95396318],[2426.39449938],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.0623995],[0.04307504],[0.19311172]
853,30,61.2945336313727,110.43800019761144,1305.1734838398897,2926.1348973962604,-325.40895109182657,-19945.78989664768,0.44604009370902964,-62.15049084563734,[3637.17871618],[3543.22903705],[3643.48698512],[3512.2757903],[3649.75277381],[3431.64441858],[3655.97617858],[2436.29361397],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06188628],[0.04279666],[0.1918955]
863,30,60.88933129019111,110.43800019761144,1313.859067013395,2948.792820993539,-323.8103857104388,-19716.597850727474,0.44555828326071256,-61.12914179798953,[3659.83663978],[3564.7063653],[3665.94994643],[3533.11075087],[3672.02450761],[3451.23136665],[3678.06041573],[2446.1294726],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06138058],[0.04252107],[0.1906906]
873,30,60.49342396935109,110.43800019761144,1322.4577937683257,2971.4878997053556,-322.198423444479,-19490.885831683376,0.4450490254055744,-60.195846475566,[3682.53171849],[3586.22279523],[3688.45891392],[3553.99321102],[3694.35076521],[3470.87413683],[3700.20731402],[2455.90452367],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06088218],[0.04224824],[0.18949685]
