Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3118.40842933],[3053.07005299],[3163.61413024],[3068.93282615],[3205.28289661],[3042.68971984],[3243.87930283],[2074.04776088],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
683,[3147.45568277],[3080.49138221],[3189.89662208],[3093.17460746],[3229.31451415],[3063.64065973],[3266.06555476],[2088.23186901],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
693,[3175.80870002],[3107.25833236],[3215.78711637],[3117.05781375],[3253.1651398],[3084.44317404],[3288.21775225],[2101.98111639],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
703,[3203.57188421],[3133.47033746],[3241.3415411],[3140.63463479],[3276.86163341],[3105.11464478],[3310.34561599],[2115.34855731],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
713,[3230.83071763],[3159.20862839],[3266.60689225],[3163.94889526],[3300.42709069],[3125.67852516],[3332.45770663],[2128.37785146],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
723,[3257.65598332],[3184.54050158],[3291.62298677],[3187.03770623],[3323.88149414],[3146.15262195],[3354.56159832],[2141.10535208],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
733,[3284.10688035],[3209.52220737],[3316.42381339],[3209.93271831],[3347.24223252],[3166.55241118],[3376.66402153],[2153.56164763],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
743,[3310.23336358],[3234.20119306],[3341.03858594],[3232.66112008],[3370.52451878],[3186.89141589],[3398.77098136],[2165.77271995],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
753,[3336.07792815],[3258.61780409],[3365.49257362],[3255.2464103],[3393.74172891],[3207.17800896],[3420.88785595],[2177.76082772],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
763,[3361.67698896],[3282.80657362],[3389.80776166],[3277.70902743],[3416.90567852],[3227.43113669],[3443.01947879],[2189.54518938],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074]
