Th,P1,P2,P3,P4,P5
673,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
683,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
693,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
703,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
713,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
723,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
733,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
743,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
753,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
763,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
773,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
783,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
793,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
803,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
813,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
823,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
833,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
843,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
853,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
863,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
873,20,[15.01061738],[10.02123475],[5.03185213],[0.04246951]
